ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry,Original_Industry,Industry1,Industry2
1073,2006,Social Sciences,Social Sciences,NA,NA,NA,NA,Unknown,Producer,Media,NA,Arts and Media,Arts and Media
1074,2002,Social Sciences,Social Sciences,NA,NA,NA,NA,Street Roots Newspaper,Reporter,Media,Media,Arts and Media,Arts and Media
1075,2002,Social Sciences,Social Sciences,NA,NA,NA,NA,NY Board of Education,Spec. Ed Teacher,Education,Education,Education,Education
1076,2004,Social Sciences,Social Sciences,NA,NA,NA,NA,unknown,"Acupuncturist, naturopath",Healthcare Services,Healthcare Services,Health and Medicine,Health and Medicine
1077,2013,Social Sciences,Social Sciences,NA,NA,NA,NA,Meridian Behavioral Healthcare,Access Center Team Lead,Healthcare,Healthcare,Health and Medicine,Health and Medicine
1078,2013,Social Sciences,Social Sciences,NA,NA,NA,NA,JET Program,ALT,Education,Education,Education,Education
1079,2008,Social Sciences,Social Sciences,NA,NA,NA,NA,City of Somerville,Lead Program Manager,City/County/State,City/County/State,Government and Social Services,Government and Social Services
1080,2020,Social Sciences,Social Sciences,NA,NA,NA,NA,DLE Court Reporters,NA,Law,NA,Government and Social Services,Government and Social Services
1081,2009,Social Sciences,Social Sciences,NA,NA,NA,NA,CA State Department of Finance,Budget Analyst,Government,Government,Government and Social Services,Government and Social Services
1082,2016,Social Sciences,Social Sciences,NA,NA,NA,NA,New College of Florida,Assistant Director of Student Success,Education,NA,Education,Education
1083,2010,Social Sciences,Social Sciences,Gender Studies,Social Sciences,NA,NA,Florida State University,Law Student,Education,Education,Education,Education
1084,2011,Sociology,Social Sciences,NA,NA,NA,NA,Longhorn Steakhouse,Host,Food Service,Food Service,"Business, Finance, and Retail","Business, Finance, and Retail"
1085,2010,Sociology,Social Sciences,NA,NA,NA,NA,"University of California, Merced",Teaching Assistant,Education,Education,Education,Education
1086,2006,Sociology,Social Sciences,NA,NA,NA,NA,Oswego County OB-GYN,Certified Nurse-Midwife,Healthcare,Healthcare,Health and Medicine,Health and Medicine
1087,2010,Sociology,Social Sciences,NA,NA,NA,NA,Geoffrey Vitiello Design,Freelance Designer,Arts,Arts,Arts and Media,Arts and Media
1088,2004,Sociology,Social Sciences,NA,NA,NA,NA,Unknown,Registrar,Unknown,NA,Unknown,Other
1089,2004,Sociology,Social Sciences,NA,NA,NA,NA,Jade Community Acupuncture,Licensed Acupuncturist,Health & Fitness,Health & Fitness,Health and Medicine,Health and Medicine
1090,2007,Sociology,Social Sciences,NA,NA,NA,NA,McDermott Will & Emery LLP,Associate Attorney,Law,Law,Government and Social Services,Government and Social Services
1091,2006,Sociology,Social Sciences,NA,NA,NA,NA,Scholastica,CEO-Co-Founder,Online Media,Online Media,Arts and Media,Arts and Media
1092,2011,Sociology,Social Sciences,NA,NA,NA,NA,Hillsborough County Public Schools,Teacher,Education,Education,Education,Education
1093,2014,Sociology,Social Sciences,NA,NA,NA,NA,SCOPE,NA,Non Profit,Non Profit,Government and Social Services,Government and Social Services
1094,2006,Sociology,Social Sciences,NA,NA,NA,NA,Prevention Institute,NA,Non Profit,NA,Government and Social Services,Government and Social Services
1095,2007,Sociology,Social Sciences,NA,NA,NA,NA,Portland Alliance for Self Care,Accesibility Ambassador,Non Profit,Non Profit,Government and Social Services,Government and Social Services
1096,2002,Sociology,Social Sciences,NA,NA,NA,NA,University of Wisconson- Eau Claire,"Assist. Prof. of Sociology, Communication, & Journ",Education,Education,Education,Education
1097,2016,Sociology,Social Sciences,NA,NA,NA,NA,New College of Florida,Diversity and Inclusion Project Assistant,Education,Education,Education,Education
1098,2004,Sociology,Social Sciences,NA,NA,NA,NA,"Pyramid, Inc.",Music Coordinator,Education,Education,Education,Education
1099,2010,Sociology,Social Sciences,NA,NA,NA,NA,Conde Nast,Project Manager,Advertising,Advertising,"Business, Finance, and Retail","Business, Finance, and Retail"
1100,2012,Sociology,Social Sciences,NA,NA,NA,NA,National Labor Relations Board,Labor Studies Graduate Research Assistant,Government,Government,Government and Social Services,Government and Social Services
1101,2004,Sociology,Social Sciences,NA,NA,NA,NA,Industrial Data Associates (IDA),Data Analyst,IT Communications,IT Communications,STEM,STEM
1102,2010,Sociology,Social Sciences,NA,NA,NA,NA,Sarasota Film Festival Inc.,Features Programmer,Film,Film,Arts and Media,Arts and Media
1103,2013,Sociology,Social Sciences,NA,NA,NA,NA,Orlando Heart Specialists,Research Assistant / IT,Medical,Medical,Health and Medicine,Health and Medicine
1104,2004,Sociology,Social Sciences,NA,NA,NA,NA,Portland Community College,"Co-Director, PCC Clear Clinic",Education,NA,Education,Education
1105,2013,Sociology,Social Sciences,NA,NA,NA,NA,French Government TAPIF,English Teaching Assistant,Education,Education,Education,Education
1106,2009,Sociology,Social Sciences,NA,NA,NA,NA,Planned Parenthood of New York City,VP of Individual Giving & Events,Healthcare,NA,Health and Medicine,Health and Medicine
1107,2002,Sociology,Social Sciences,NA,NA,NA,NA,unknown,NA,Unknown,NA,Unknown,Other
1108,2009,Sociology,Social Sciences,NA,NA,NA,NA,Blindspot,Writer,Media,Media,Arts and Media,Arts and Media
1109,2003,Sociology,Social Sciences,NA,NA,NA,NA,Kyocera Technology Dept.,Product Specialist / Translator,Technology,NA,STEM,STEM
1110,2004,Sociology,Social Sciences,NA,NA,NA,NA,Jacobs,Consultant,Engineering,Engineering,STEM,STEM
1111,2015,Sociology,Social Sciences,NA,NA,NA,NA,Sarasota School Board,Restorative Strategies Coordinator,Education,Education,Education,Education
1112,2007,Sociology,Social Sciences,NA,NA,NA,NA,Sarasota County Library System,Librarian,Library,Library,Education,Education
1113,2006,Sociology,Social Sciences,NA,NA,NA,NA,Northwestern University,Faculty,Education,Education,Education,Education
1114,2020,Sociology,Social Sciences,NA,NA,NA,NA,University of West Florida,Research Assistant,Education,NA,Education,Education
1115,2004,Sociology,Social Sciences,NA,NA,NA,NA,"Kirk, Pinkerton, p.a.",Family Law Paralegal,Law,Law,Government and Social Services,Government and Social Services
1116,2007,Sociology,Social Sciences,NA,NA,NA,NA,The Long Now Foundation,Programs Associate,Philanthropy,Philanthropy,Government and Social Services,Government and Social Services
1117,2007,Sociology,Social Sciences,NA,NA,NA,NA,thoughtbot,Community Manager,Technology,Technology,STEM,STEM
1118,2006,Sociology,Social Sciences,NA,NA,NA,NA,Hunter College CUNY,Adjunct Professor,Education,Education,Education,Education
1119,2007,Sociology,Social Sciences,NA,NA,NA,NA,MARTA - Woodruff Arts Center Expansion Project,Capital Management Associate,Financial Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
1120,2007,Sociology,Social Sciences,NA,NA,NA,NA,Powell Burke Psychotherapy,Psychotherapist,Psychotherapy,Psychotherapy,Health and Medicine,Health and Medicine
1121,2007,Sociology,Social Sciences,NA,NA,NA,NA,Harborview Medical Center,Registered Nurse,Healthcare,Healthcare,Health and Medicine,Health and Medicine
1122,2009,Sociology,Social Sciences,NA,NA,NA,NA,United Church of Christ,Minister,Religion,Religion,Government and Social Services,Government and Social Services
1123,2011,Sociology,Social Sciences,Environmental Studies,Interdisciplinary,NA,NA,"Maglio, Christopher & Toale",Attorney,Law,Law,Government and Social Services,Government and Social Services
1124,2019,Sociology,Social Sciences,Gender Studies,Social Sciences,NA,NA,"Groundspeed Analytics, Inc.",People Operations Coordinator,Software,NA,STEM,STEM
1125,2020,"Theater, Dance and Performance Studies",Humanities,Sociology,Social Sciences,NA,NA,Class & Co.,Events Manager,Business,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
1126,2005,Environmental Studies,Interdisciplinary,Sociology,Social Sciences,NA,NA,Lake County Community Development Cort,Program Manager-Cooperative Business Developer,Non Profit,Non Profit,Government and Social Services,Government and Social Services
1127,2004,Environmental Studies,Interdisciplinary,Sociology,Social Sciences,NA,NA,Clean Technia & Planet Save,Director and Editor,Environmental,Environmental,STEM,STEM
1128,2007,Environmental Studies,Interdisciplinary,Sociology,Social Sciences,NA,NA,Greening America,Project Manager,Nonprofit,Nonprofit,Government and Social Services,Government and Social Services
1129,2012,Sociology,Social Sciences,Gender Studies,Social Sciences,NA,NA,Waltham House - House for Little Wanderers,Direct Care Counselor,Non Profit,NA,Government and Social Services,Government and Social Services
1130,2013,Sociology,Social Sciences,Gender Studies,Social Sciences,NA,NA,UN World Food Programme,Gender Consultant,Non Profit,NA,Government and Social Services,Government and Social Services
1131,2002,Sociology,Social Sciences,Gender Studies,Social Sciences,NA,NA,Unknown,NA,Military,Military,Government and Social Services,Government and Social Services
1132,2011,Sociology,Social Sciences,Gender Studies,Social Sciences,NA,NA,Institute for Communitarian Policy Studies,Executive Aide,Government,Government,Government and Social Services,Government and Social Services
1133,2013,Sociology,Social Sciences,Gender Studies,Social Sciences,NA,NA,Planned Parenthood,Health Care Representative,Healthcare,Healthcare,Health and Medicine,Health and Medicine
1134,2013,Sociology,Social Sciences,Gender Studies,Social Sciences,NA,NA,"Planned Parenthood of South, East & North Florida",Statewide Director of Organizing,Non Profit,Non Profit,Government and Social Services,Government and Social Services
1135,2016,Sociology,Social Sciences,Gender Studies,Social Sciences,NA,NA,National Latina Institute for Reproductive Health,Public Affairs Associate,Non Profit,Non Profit,Government and Social Services,Government and Social Services
1136,2013,Sociology,Social Sciences,Gender Studies,Social Sciences,NA,NA,Booz Allen Hamilton,NA,Information Technology,Information Technology,STEM,STEM
1137,2012,Sociology,Social Sciences,Gender Studies,Social Sciences,NA,NA,Wellesley College,Director of Student Wellness,Education,NA,Education,Education
1138,2013,Sociology,Social Sciences,International and Area Studies,Interdisciplinary,NA,NA,University of South Florida,Graduate Instructor,Education,Education,Education,Education
1139,2013,Sociology,Social Sciences,International and Area Studies,Interdisciplinary,NA,NA,Mexico Solidarity Network,Study Abroad Coordinator,Education,Education,Education,Education
1140,2011,Spanish Language and Literature,Humanities,Sociology,Social Sciences,NA,NA,North American Teaching and Cultural Assistant Program,Teaching Assistant,Education,Education,Education,Education
1141,2010,Philosophy,NA,NA,NA,NA,NA,Publicis Life Brands Medicus,Copy Supervisor,Marketing,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
1142,2015,Spanish Language and Literature,Humanities,NA,NA,NA,NA,Department of Education - Spain,Auxiliar de Conversation,Government,NA,Government and Social Services,Government and Social Services
1143,2020,Spanish Language and Literature,Humanities,Economics,Social Sciences,NA,NA,People Engaged in Active Community Efforts (PEACE),Associate Organizer,Community Services,Community Services,Government and Social Services,Government and Social Services
1144,2020,Environmental Studies,Interdisciplinary,Spanish Language and Literature,Humanities,NA,NA,Student PIRGS,Campus Organizer,Education,NA,Education,Education
1145,2018,Applied Mathematics,Natural Sciences,Spanish Language and Literature,Humanities,NA,NA,Broadbridge,Programme Analyst,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
1146,2020,Mathematics,Natural Sciences,Spanish Language and Literature,Humanities,NA,NA,Lake Country School,Elementary Assistant,Education,Education,Education,Education
1147,2015,Music,Humanities,Spanish Language and Literature,Humanities,NA,NA,Tapestry Public Charter School,High School Spanish Teacher,Education,Education,Education,Education
1148,2012,Spanish Language and Literature,Humanities,NA,NA,NA,NA,Freelance Spanish Translator,Freelance Translator,Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
1149,2018,Gender Studies,Social Sciences,Spanish Language and Literature,Humanities,NA,NA,Worden Farms,Farmer's market Employee,Agriculture,Agriculture,STEM,STEM
1150,2008,Anthropology,Social Sciences,NA,NA,NA,NA,Bilzin Sumberg,Associate,Law,NA,Government and Social Services,Government and Social Services
1151,2011,Urban Studies,Interdisciplinary,NA,NA,NA,NA,"Nintendo of America, Inc.",Merchandising Representative,Electronics,Electronics,STEM,STEM
1152,2009,Urban Studies,Interdisciplinary,NA,NA,NA,NA,Rensselaer Polytechnic Institute,Teaching Assistant,Education,Education,Education,Education
1153,2013,Art,Humanities,Urban Studies,Interdisciplinary,NA,NA,Public Art Program,Artist Residency,Arts,Arts,Arts and Media,Arts and Media
1154,2002,Art,Humanities,NA,NA,NA,NA,Image One Corporation,Marketing Consultant,Business Consulting,Business Consulting,"Business, Finance, and Retail","Business, Finance, and Retail"
1155,2002,Art,Humanities,NA,NA,NA,NA,Ista North America,NA,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
1156,2004,Art,Humanities,NA,NA,NA,NA,Charles Theater,NA,Entertainment,NA,Arts and Media,Arts and Media
1157,2002,Art,Humanities,NA,NA,NA,NA,Wheaton College,Associate Professor of Art,Education,Education,Education,Education
1158,2002,Art,Humanities,NA,NA,NA,NA,Henderson Shapiro Peck,Designer,Arts,Arts,Arts and Media,Arts and Media
1159,2002,Art,Humanities,NA,NA,NA,NA,MapQuest,User Experience Researcher,Software,Software,STEM,STEM
1160,2005,Art,Humanities,NA,NA,NA,NA,Graham Projects LLC,Owner,Arts,NA,Arts and Media,Arts and Media
1161,2002,Anthropology,Social Sciences,Art,Humanities,NA,NA,Med Art Pros South,Anaplastologist,Healthcare,Healthcare,Health and Medicine,Health and Medicine
1162,2003,Gender Studies,Social Sciences,Art,Humanities,NA,NA,Brooklyn Public Library,Senior Librarian- Youth Services Department,Library,Library,Education,Education
